,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,bqskit_bv_all_ones_41,bqskit_bv_all_ones_41_1e-08_ScanPartitioner3_QSearch,41,3.783550024032592,40,40,40,40,163,284,"HGate, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.1,13.75,2.0,2.15,,False,BQSkit
1,bqskit_bv_all_ones_41,bqskit_bv_all_ones_41_1e-08_ScanPartitioner3_LEAP,41,3.699551105499267,40,40,40,40,163,284,"HGate, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.1,13.0,2.0,2.0,,False,BQSkit
2,bqskit_bv_all_ones_41,bqskit_bv_all_ones_41_OptimizationLevel3,41,0.12971997261047302,40,40,41,40,163,253,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
3,bqskit_bv_all_ones_29,bqskit_bv_all_ones_29_1e-08_ScanPartitioner3_QSearch,29,3.107665538787842,28,28,28,28,115,200,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.142857142857143,13.0,2.0,2.0,,False,BQSkit
4,bqskit_bv_all_ones_29,bqskit_bv_all_ones_29_1e-08_ScanPartitioner3_LEAP,29,2.969128131866455,28,28,28,28,115,200,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.142857142857143,13.357142857142858,2.0,2.071428571428571,,False,BQSkit
5,bqskit_bv_all_ones_29,bqskit_bv_all_ones_29_OptimizationLevel3,29,0.09681820869445801,28,28,29,28,115,181,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
6,bqskit_bv_all_ones_14,bqskit_bv_all_ones_14_1e-08_ScanPartitioner3_QSearch,14,2.788475513458252,13,13,13,13,55,95,"CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.857142857142857,12.142857142857142,1.8571428571428572,1.8571428571428572,,False,BQSkit
7,bqskit_bv_all_ones_14,bqskit_bv_all_ones_14_1e-08_ScanPartitioner3_LEAP,14,2.697751045227051,13,13,13,13,55,95,"CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.857142857142857,12.142857142857142,1.8571428571428572,1.8571428571428572,,False,BQSkit
8,bqskit_bv_all_ones_14,bqskit_bv_all_ones_14_OptimizationLevel3,14,0.043101787567138006,13,13,14,13,55,91,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
9,bqskit_bv_all_ones_43,bqskit_bv_all_ones_43_1e-08_ScanPartitioner3_QSearch,43,3.7919318675994873,42,42,42,42,171,298,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.095238095238095,13.238095238095237,2.0,2.047619047619047,,False,BQSkit
