,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,bqskit_clifford_16_88455,bqskit_clifford_16_88455_1e-08_ScanPartitioner3_QSearch,16,31.44822382926941,1050,1536,354,553,2560,6491,"CYGate, HGate, YGate, XGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.059288537549407,18.284584980237153,2.075098814229249,3.071146245059288,,False,BQSkit
1,bqskit_clifford_16_88455,bqskit_clifford_16_88455_1e-08_ScanPartitioner3_LEAP,16,28.57569169998169,1050,1536,354,553,2560,6526,"CYGate, HGate, YGate, XGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.059288537549407,19.628458498023715,2.075098814229249,3.3399209486166,,False,BQSkit
2,bqskit_clifford_16_88455,bqskit_clifford_16_88455_OptimizationLevel3,16,0.686256408691406,1050,758,354,263,2560,2651,"cz, z, swap, h, y, s, cy, cx, sdg, x","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
3,bqskit_clifford_6_40144,bqskit_clifford_6_40144_1e-08_ScanPartitioner3_QSearch,6,6.351716756820679,150,202,96,142,360,985,"CYGate, HGate, SdgGate, YGate, XGate, CZGate, ZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.806451612903226,18.29032258064516,2.419354838709677,3.064516129032258,,False,BQSkit
4,bqskit_clifford_6_40144,bqskit_clifford_6_40144_1e-08_ScanPartitioner3_LEAP,6,4.562565326690674,150,199,96,139,360,1033,"CYGate, HGate, SdgGate, YGate, XGate, CZGate, ZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.806451612903226,18.612903225806452,2.419354838709677,3.129032258064516,,False,BQSkit
5,bqskit_clifford_6_40144,bqskit_clifford_6_40144_OptimizationLevel3,6,0.080899238586425,150,113,96,75,360,403,"cz, z, cy, sdg, cx, s, x, h, y, swap","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
6,bqskit_clifford_5_52890,bqskit_clifford_5_52890_1e-08_ScanPartitioner3_QSearch,5,4.8962202072143555,95,112,76,92,250,912,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.944444444444445,17.5,2.6388888888888893,2.916666666666666,,False,BQSkit
7,bqskit_clifford_5_52890,bqskit_clifford_5_52890_1e-08_ScanPartitioner3_LEAP,5,5.260231018066406,95,112,76,94,250,912,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.944444444444445,19.02777777777778,2.6388888888888893,3.222222222222222,,False,BQSkit
8,bqskit_clifford_5_52890,bqskit_clifford_5_52890_OptimizationLevel3,5,0.076149225234985,95,66,76,54,250,285,"cz, h, x, sdg, z, s, cx, cy, y, swap","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
9,bqskit_clifford_20_74708,bqskit_clifford_20_74708_1e-08_ScanPartitioner3_QSearch,20,46.84691286087036,1595,2309,450,691,4000,9715,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.167958656330749,18.54780361757106,2.060723514211886,3.118863049095607,,False,BQSkit
10,bqskit_clifford_20_74708,bqskit_clifford_20_74708_1e-08_ScanPartitioner3_LEAP,20,41.69856858253479,1595,2310,450,690,4000,9783,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.167958656330749,19.626614987080103,2.060723514211886,3.334625322997416,,False,BQSkit
11,bqskit_clifford_20_74708,bqskit_clifford_20_74708_OptimizationLevel3,20,0.8373725414276121,1595,1164,450,331,4000,4037,"s, x, cy, cx, sdg, z, cz, swap, h, y","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
12,bqskit_clifford_8_57466,bqskit_clifford_8_57466_1e-08_ScanPartitioner3_QSearch,8,9.318849802017212,264,409,147,249,640,1733,"HGate, CYGate, XGate, YGate, SdgGate, CZGate, CNOTGate, ZGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.161290322580645,19.467741935483872,2.129032258064516,3.314516129032258,,False,BQSkit
13,bqskit_clifford_8_57466,bqskit_clifford_8_57466_1e-08_ScanPartitioner3_LEAP,8,10.09912919998169,264,412,147,249,640,1687,"HGate, CYGate, XGate, YGate, SdgGate, CZGate, CNOTGate, ZGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.161290322580645,20.717741935483872,2.129032258064516,3.564516129032258,,False,BQSkit
