,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,bqskit_dtc_33_4.3784_43784,bqskit_dtc_33_4.3784_43784_1e-08_ScanPartitioner3_QSearch,33,4.3796820640563965,32,64,2,4,98,294,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.125,23.0,2.0,4.0,,False,BQSkit
1,bqskit_dtc_33_4.3784_43784,bqskit_dtc_33_4.3784_43784_1e-08_ScanPartitioner3_LEAP,33,4.869507074356079,32,64,2,4,98,294,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.125,23.9375,2.0,4.1875,,False,BQSkit
2,bqskit_dtc_33_4.3784_43784,bqskit_dtc_33_4.3784_43784_OptimizationLevel3,33,0.050136089324951005,32,64,2,4,98,293,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
3,bqskit_dtc_14_8.4856_84856,bqskit_dtc_14_8.4856_84856_1e-08_ScanPartitioner3_QSearch,14,9.547913312911987,13,26,2,4,41,123,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.857142857142857,21.571428571428573,1.8571428571428572,3.714285714285714,,False,BQSkit
4,bqskit_dtc_14_8.4856_84856,bqskit_dtc_14_8.4856_84856_1e-08_ScanPartitioner3_LEAP,14,4.345980167388916,13,26,2,4,41,123,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.857142857142857,23.714285714285715,1.8571428571428572,4.142857142857143,,False,BQSkit
5,bqskit_dtc_14_8.4856_84856,bqskit_dtc_14_8.4856_84856_OptimizationLevel3,14,0.030800342559814002,13,26,2,4,41,122,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
6,bqskit_dtc_13_7.082_70820,bqskit_dtc_13_7.082_70820_1e-08_ScanPartitioner3_QSearch,13,4.6854329109191895,12,24,2,4,38,114,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.333333333333333,23.0,2.0,4.0,,False,BQSkit
7,bqskit_dtc_13_7.082_70820,bqskit_dtc_13_7.082_70820_1e-08_ScanPartitioner3_LEAP,13,4.408190488815308,12,24,2,4,38,114,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.333333333333333,23.833333333333332,2.0,4.166666666666667,,False,BQSkit
8,bqskit_dtc_13_7.082_70820,bqskit_dtc_13_7.082_70820_OptimizationLevel3,13,0.018034934997558,12,24,2,4,38,113,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
9,bqskit_dtc_43_3.941_39410,bqskit_dtc_43_3.941_39410_1e-08_ScanPartitioner3_QSearch,43,-1.35886526107788,42,84,2,4,128,384,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.095238095238095,23.0,2.0,4.0,,False,BQSkit
10,bqskit_dtc_43_3.941_39410,bqskit_dtc_43_3.941_39410_1e-08_ScanPartitioner3_LEAP,43,4.644550800323486,42,84,2,4,128,384,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.095238095238095,23.476190476190474,2.0,4.095238095238095,,False,BQSkit
11,bqskit_dtc_43_3.941_39410,bqskit_dtc_43_3.941_39410_OptimizationLevel3,43,0.052088975906372,42,84,2,4,128,383,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
12,bqskit_dtc_32_2.3265_23265,bqskit_dtc_32_2.3265_23265_1e-08_ScanPartitioner3_QSearch,32,4.360829830169678,31,62,2,4,95,285,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9375,22.375,1.9375,3.875,,False,BQSkit
13,bqskit_dtc_32_2.3265_23265,bqskit_dtc_32_2.3265_23265_1e-08_ScanPartitioner3_LEAP,32,3.989281177520752,31,62,2,4,95,285,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9375,23.9375,1.9375,4.1875,,False,BQSkit
14,bqskit_dtc_32_2.3265_23265,bqskit_dtc_32_2.3265_23265_OptimizationLevel3,32,0.039511442184448006,31,62,2,4,95,284,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
15,bqskit_dtc_37_8.2834_82834,bqskit_dtc_37_8.2834_82834_1e-08_ScanPartitioner3_QSearch,37,5.139838457107544,36,72,2,4,110,330,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.111111111111111,23.0,2.0,4.0,,False,BQSkit
16,bqskit_dtc_37_8.2834_82834,bqskit_dtc_37_8.2834_82834_1e-08_ScanPartitioner3_LEAP,37,4.418214082717895,36,72,2,4,110,330,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.111111111111111,24.11111111111111,2.0,4.222222222222222,,False,BQSkit
17,bqskit_dtc_37_8.2834_82834,bqskit_dtc_37_8.2834_82834_OptimizationLevel3,37,0.044259548187255006,36,72,2,4,110,329,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
18,bqskit_dtc_48_7.7905_77905,bqskit_dtc_48_7.7905_77905_1e-08_ScanPartitioner3_QSearch,48,5.973302602767944,47,94,2,4,143,429,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.958333333333333,22.583333333333332,1.958333333333333,3.916666666666666,,False,BQSkit
19,bqskit_dtc_48_7.7905_77905,bqskit_dtc_48_7.7905_77905_1e-08_ScanPartitioner3_LEAP,48,5.790736675262451,47,94,2,4,143,429,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.958333333333333,23.833333333333332,1.958333333333333,4.166666666666667,,False,BQSkit
20,bqskit_dtc_48_7.7905_77905,bqskit_dtc_48_7.7905_77905_OptimizationLevel3,48,0.05344200134277301,47,94,2,4,143,428,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
21,bqskit_dtc_42_1.5458_15458,bqskit_dtc_42_1.5458_15458_1e-08_ScanPartitioner3_QSearch,42,5.536645889282227,41,82,2,4,125,375,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9523809523809526,22.523809523809526,1.952380952380952,3.904761904761904,,False,BQSkit
22,bqskit_dtc_42_1.5458_15458,bqskit_dtc_42_1.5458_15458_1e-08_ScanPartitioner3_LEAP,42,5.945745944976807,41,82,2,4,125,375,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9523809523809526,23.238095238095237,1.952380952380952,4.0476190476190474,,False,BQSkit
23,bqskit_dtc_42_1.5458_15458,bqskit_dtc_42_1.5458_15458_OptimizationLevel3,42,0.06711006164550701,41,82,2,4,125,374,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
24,bqskit_dtc_18_6.8192_68192,bqskit_dtc_18_6.8192_68192_1e-08_ScanPartitioner3_QSearch,18,4.353823184967041,17,34,2,4,53,159,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.888888888888889,21.88888888888889,1.888888888888888,3.777777777777777,,False,BQSkit
25,bqskit_dtc_18_6.8192_68192,bqskit_dtc_18_6.8192_68192_1e-08_ScanPartitioner3_LEAP,18,4.195651054382324,17,34,2,4,53,159,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.888888888888889,24.11111111111111,1.888888888888888,4.222222222222222,,False,BQSkit
26,bqskit_dtc_18_6.8192_68192,bqskit_dtc_18_6.8192_68192_OptimizationLevel3,18,0.030874013900756003,17,34,2,4,53,158,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
27,bqskit_dtc_29_8.5326_85326,bqskit_dtc_29_8.5326_85326_1e-08_ScanPartitioner3_QSearch,29,4.548641204833984,28,56,2,4,86,258,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.142857142857143,23.0,2.0,4.0,,False,BQSkit
28,bqskit_dtc_29_8.5326_85326,bqskit_dtc_29_8.5326_85326_1e-08_ScanPartitioner3_LEAP,29,4.04255199432373,28,56,2,4,86,258,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.142857142857143,24.428571428571427,2.0,4.2857142857142865,,False,BQSkit
29,bqskit_dtc_29_8.5326_85326,bqskit_dtc_29_8.5326_85326_OptimizationLevel3,29,0.038003206253051,28,56,2,4,86,257,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
30,bqskit_dtc_25_6.169_61690,bqskit_dtc_25_6.169_61690_1e-08_ScanPartitioner3_QSearch,25,4.472413539886475,24,48,2,4,74,222,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.166666666666667,23.0,2.0,4.0,,False,BQSkit
31,bqskit_dtc_25_6.169_61690,bqskit_dtc_25_6.169_61690_1e-08_ScanPartitioner3_LEAP,25,3.84024977684021,24,48,2,4,74,222,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.166666666666667,24.666666666666668,2.0,4.333333333333333,,False,BQSkit
32,bqskit_dtc_25_6.169_61690,bqskit_dtc_25_6.169_61690_OptimizationLevel3,25,0.030947446823120003,24,48,2,4,74,221,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
33,bqskit_dtc_34_7.7085_77085,bqskit_dtc_34_7.7085_77085_1e-08_ScanPartitioner3_QSearch,34,4.56384801864624,33,66,2,4,101,303,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9411764705882355,22.705882352941178,1.941176470588235,3.941176470588235,,False,BQSkit
34,bqskit_dtc_34_7.7085_77085,bqskit_dtc_34_7.7085_77085_1e-08_ScanPartitioner3_LEAP,34,4.562230110168457,33,66,2,4,101,303,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9411764705882355,24.176470588235293,1.941176470588235,4.235294117647059,,False,BQSkit
35,bqskit_dtc_34_7.7085_77085,bqskit_dtc_34_7.7085_77085_OptimizationLevel3,34,0.04308581352233801,33,66,2,4,101,302,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
36,bqskit_dtc_41_1.4759_14759,bqskit_dtc_41_1.4759_14759_1e-08_ScanPartitioner3_QSearch,41,5.252225399017334,40,80,2,4,122,366,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.1,23.0,2.0,4.0,,False,BQSkit
37,bqskit_dtc_41_1.4759_14759,bqskit_dtc_41_1.4759_14759_1e-08_ScanPartitioner3_LEAP,41,-0.775592565536499,40,80,2,4,122,366,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.1,24.0,2.0,4.2,,False,BQSkit
38,bqskit_dtc_41_1.4759_14759,bqskit_dtc_41_1.4759_14759_OptimizationLevel3,41,0.045681476593017,40,80,2,4,122,365,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
39,bqskit_dtc_23_8.6878_86878,bqskit_dtc_23_8.6878_86878_1e-08_ScanPartitioner3_QSearch,23,4.353913068771362,22,44,2,4,68,204,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.181818181818182,23.0,2.0,4.0,,False,BQSkit
40,bqskit_dtc_23_8.6878_86878,bqskit_dtc_23_8.6878_86878_1e-08_ScanPartitioner3_LEAP,23,4.060051441192627,22,44,2,4,68,204,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.181818181818182,23.90909090909091,2.0,4.181818181818182,,False,BQSkit
41,bqskit_dtc_23_8.6878_86878,bqskit_dtc_23_8.6878_86878_OptimizationLevel3,23,0.031014680862426,22,44,2,4,68,203,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
42,bqskit_dtc_47_5.2335_52335,bqskit_dtc_47_5.2335_52335_1e-08_ScanPartitioner3_QSearch,47,5.5101478099823,46,92,2,4,140,420,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.086956521739131,23.0,2.0,4.0,,False,BQSkit
43,bqskit_dtc_47_5.2335_52335,bqskit_dtc_47_5.2335_52335_1e-08_ScanPartitioner3_LEAP,47,5.647567272186279,46,92,2,4,140,420,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.086956521739131,24.08695652173913,2.0,4.217391304347826,,False,BQSkit
44,bqskit_dtc_47_5.2335_52335,bqskit_dtc_47_5.2335_52335_OptimizationLevel3,47,0.14071059226989702,46,92,2,4,140,419,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
45,bqskit_dtc_32_1.172_11720,bqskit_dtc_32_1.172_11720_1e-08_ScanPartitioner3_QSearch,32,10.35371994972229,31,62,2,4,95,285,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9375,22.375,1.9375,3.875,,False,BQSkit
46,bqskit_dtc_32_1.172_11720,bqskit_dtc_32_1.172_11720_1e-08_ScanPartitioner3_LEAP,32,6.585443496704102,31,62,2,4,95,285,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9375,23.9375,1.9375,4.1875,,False,BQSkit
47,bqskit_dtc_32_1.172_11720,bqskit_dtc_32_1.172_11720_OptimizationLevel3,32,0.084129571914672,31,62,2,4,95,284,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
48,bqskit_dtc_47_4.4825_44825,bqskit_dtc_47_4.4825_44825_1e-08_ScanPartitioner3_QSearch,47,1.064186573028564,46,92,2,4,140,420,"RZZGate, RZGate, RXGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.086956521739131,23.0,2.0,4.0,,False,BQSkit
