,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,bqskit_qv_20_None_93819,bqskit_qv_20_None_93819_1e-08_ScanPartitioner3_QSearch,20,81.66078448295593,587,587,60,60,2049,7897,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,19.330188679245282,31.971698113207548,5.537735849056604,5.820754716981132,,False,BQSkit
1,bqskit_qv_20_None_93819,bqskit_qv_20_None_93819_1e-08_ScanPartitioner3_LEAP,20,43.8061044216156,587,587,60,60,2049,7897,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,19.330188679245282,43.056603773584904,5.537735849056604,8.037735849056604,,False,BQSkit
2,bqskit_qv_20_None_93819,bqskit_qv_20_None_93819_OptimizationLevel3,20,0.278811454772949,587,587,60,60,2049,3626,"u3, cx","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
3,bqskit_qv_15_None_89918,bqskit_qv_15_None_89918_1e-08_ScanPartitioner3_QSearch,15,53.3499174118042,300,300,45,45,1052,4060,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,19.849056603773583,32.886792452830186,5.660377358490566,6.0,,False,BQSkit
4,bqskit_qv_15_None_89918,bqskit_qv_15_None_89918_1e-08_ScanPartitioner3_LEAP,15,27.252988815307617,300,300,45,45,1052,4060,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,19.849056603773583,43.64150943396226,5.660377358490566,8.150943396226415,,False,BQSkit
5,bqskit_qv_15_None_89918,bqskit_qv_15_None_89918_OptimizationLevel3,15,0.42857956886291504,300,300,45,45,1052,1875,"u3, cx","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
6,bqskit_qv_12_None_98073,bqskit_qv_12_None_98073_1e-08_ScanPartitioner3_QSearch,12,39.713300704956055,210,210,36,36,731,2815,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,19.236842105263158,32.10526315789474,5.526315789473684,5.842105263157895,,False,BQSkit
7,bqskit_qv_12_None_98073,bqskit_qv_12_None_98073_1e-08_ScanPartitioner3_LEAP,12,20.200913190841675,210,210,36,36,731,2815,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,19.236842105263158,42.89473684210526,5.526315789473684,8.0,,False,BQSkit
8,bqskit_qv_12_None_98073,bqskit_qv_12_None_98073_OptimizationLevel3,12,0.237892627716064,210,210,36,36,731,1320,"u3, cx","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
9,bqskit_qv_9_None_96485,bqskit_qv_9_None_96485_1e-08_ScanPartitioner3_QSearch,9,222.9163534641266,99,99,27,27,339,1299,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,19.941176470588236,33.411764705882355,5.8235294117647065,6.117647058823529,,False,BQSkit
10,bqskit_qv_9_None_96485,bqskit_qv_9_None_96485_1e-08_ScanPartitioner3_LEAP,9,16.55957293510437,99,99,27,27,339,1299,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,19.941176470588236,44.294117647058826,5.8235294117647065,8.294117647058824,,False,BQSkit
11,bqskit_qv_9_None_96485,bqskit_qv_9_None_96485_OptimizationLevel3,9,0.12374711036682101,99,99,27,27,339,639,"u3, cx","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
12,bqskit_qv_20_None_86569,bqskit_qv_20_None_86569_1e-08_ScanPartitioner3_QSearch,20,93.20021224021912,585,585,60,60,2047,7895,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,19.87378640776699,33.067961165048544,5.6796116504854375,6.029126213592233,,False,BQSkit
13,bqskit_qv_20_None_86569,bqskit_qv_20_None_86569_1e-08_ScanPartitioner3_LEAP,20,45.06855058670044,585,585,60,60,2047,7895,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,19.87378640776699,42.8252427184466,5.6796116504854375,7.980582524271846,,False,BQSkit
14,bqskit_qv_20_None_86569,bqskit_qv_20_None_86569_OptimizationLevel3,20,0.6674172878265381,585,585,60,60,2047,3610,"u3, cx","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
15,bqskit_qv_13_None_94019,bqskit_qv_13_None_94019_1e-08_ScanPartitioner3_QSearch,13,689.940507888794,213,213,39,39,740,2848,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,20.0,32.5945945945946,5.756756756756757,5.945945945945946,,False,BQSkit
16,bqskit_qv_13_None_94019,bqskit_qv_13_None_94019_1e-08_ScanPartitioner3_LEAP,13,22.699597597122192,213,213,39,39,740,2848,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,20.0,43.13513513513514,5.756756756756757,8.054054054054054,,False,BQSkit
17,bqskit_qv_13_None_94019,bqskit_qv_13_None_94019_OptimizationLevel3,13,0.230126619338989,213,213,39,39,740,1343,"u3, cx","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
18,bqskit_qv_5_None_24990,bqskit_qv_5_None_24990_1e-08_ScanPartitioner3_QSearch,5,7.455890655517578,24,24,12,12,81,309,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,20.25,34.25,6.0,6.25,,False,BQSkit
19,bqskit_qv_5_None_24990,bqskit_qv_5_None_24990_1e-08_ScanPartitioner3_LEAP,5,5.503360748291016,24,24,12,12,81,309,"CNOTGate, U3Gate","RZGate, CNOTGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,20.25,44.25,6.0,8.25,,False,BQSkit
20,bqskit_qv_5_None_24990,bqskit_qv_5_None_24990_OptimizationLevel3,5,0.038762092590332003,24,24,12,12,81,169,"u3, cx","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
