,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,bqskit_su2_17_3,bqskit_su2_17_3_1e-08_ScanPartitioner3_QSearch,17,3.5027284622192383,51,51,51,51,187,459,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.192307692307692,12.961538461538462,1.9615384615384612,2.0,,False,BQSkit
1,bqskit_su2_17_3,bqskit_su2_17_3_1e-08_ScanPartitioner3_LEAP,17,3.153684377670288,51,51,51,51,187,459,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.192307692307692,13.153846153846153,1.9615384615384612,2.038461538461538,,False,BQSkit
2,bqskit_su2_17_3,bqskit_su2_17_3_OptimizationLevel3,17,0.032897233963012,51,51,51,51,187,51,"ry, rz, cx",cx,,,,,,,,,,,3.0,False,Qiskit
3,bqskit_su2_15_3,bqskit_su2_15_3_1e-08_ScanPartitioner3_QSearch,15,3.606065988540649,45,45,45,45,165,405,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.173913043478261,12.956521739130435,1.9565217391304341,2.0,,False,BQSkit
4,bqskit_su2_15_3,bqskit_su2_15_3_1e-08_ScanPartitioner3_LEAP,15,3.645188331604004,45,45,45,45,165,405,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.173913043478261,13.173913043478262,1.9565217391304341,2.043478260869565,,False,BQSkit
5,bqskit_su2_15_3,bqskit_su2_15_3_OptimizationLevel3,15,0.021318674087524,45,45,45,45,165,45,"ry, rz, cx",cx,,,,,,,,,,,3.0,False,Qiskit
6,bqskit_su2_22_3,bqskit_su2_22_3_1e-08_ScanPartitioner3_QSearch,22,3.734947681427002,66,66,66,66,242,594,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.333333333333333,13.151515151515152,2.0,2.03030303030303,,False,BQSkit
7,bqskit_su2_22_3,bqskit_su2_22_3_1e-08_ScanPartitioner3_LEAP,22,3.430656909942627,66,66,66,66,242,594,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.333333333333333,13.303030303030303,2.0,2.06060606060606,,False,BQSkit
8,bqskit_su2_22_3,bqskit_su2_22_3_OptimizationLevel3,22,0.030974149703979003,66,66,66,66,242,66,"ry, rz, cx",cx,,,,,,,,,,,3.0,False,Qiskit
9,bqskit_su2_12_3,bqskit_su2_12_3_1e-08_ScanPartitioner3_QSearch,12,3.121461391448974,36,36,36,36,132,324,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.333333333333333,13.277777777777779,2.0,2.055555555555555,,False,BQSkit
10,bqskit_su2_12_3,bqskit_su2_12_3_1e-08_ScanPartitioner3_LEAP,12,3.646638631820678,36,36,36,36,132,324,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.333333333333333,13.0,2.0,2.0,,False,BQSkit
11,bqskit_su2_12_3,bqskit_su2_12_3_OptimizationLevel3,12,0.01736569404602,36,36,36,36,132,36,"ry, rz, cx",cx,,,,,,,,,,,3.0,False,Qiskit
12,bqskit_su2_34_3,bqskit_su2_34_3_1e-08_ScanPartitioner3_QSearch,34,3.363807439804077,102,102,102,102,374,918,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.333333333333333,13.392156862745098,2.0,2.078431372549019,,False,BQSkit
13,bqskit_su2_34_3,bqskit_su2_34_3_1e-08_ScanPartitioner3_LEAP,34,3.604446649551391,102,102,102,102,374,918,"RYGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.333333333333333,13.196078431372548,2.0,2.039215686274509,,False,BQSkit
14,bqskit_su2_34_3,bqskit_su2_34_3_OptimizationLevel3,34,0.037133216857910004,102,102,102,102,374,102,"ry, rz, cx",cx,,,,,,,,,,,3.0,False,Qiskit
