Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
ham_all_vib_fccf_mu_y_prime_enc_unary_dvalues_8_8_8_8_8_8_8,ham_all_vib_fccf_mu_y_prime_enc_unary_dvalues_8_8_8_8_8_8_8_1e-08_ScanPartitioner3_QSearch,8,6.472855091094971,28,15,28,15,98,310,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,24.5,21.5,7.0,3.75,,False,BQSkit
ham_all_vib_fccf_mu_y_prime_enc_unary_dvalues_8_8_8_8_8_8_8,ham_all_vib_fccf_mu_y_prime_enc_unary_dvalues_8_8_8_8_8_8_8_1e-08_ScanPartitioner3_LEAP,8,6.391539573669434,28,19,28,9,98,378,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,24.5,26.5,7.0,4.75,,False,BQSkit
ham_all_vib_fccf_mu_y_prime_enc_unary_dvalues_8_8_8_8_8_8_8,ham_all_vib_fccf_mu_y_prime_enc_unary_dvalues_8_8_8_8_8_8_8_OptimizationLevel3,8,0.019499778747558,28,14,28,14,98,99,"h, cx, rx, rz","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
ham_graph_complete_bipart_complbipart_n_10_a_5_b_5,ham_graph_complete_bipart_complbipart_n_10_a_5_b_5_1e-08_ScanPartitioner3_QSearch,10,6.989400625228882,150,150,118,118,425,1025,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,11.18421052631579,22.710526315789473,3.947368421052631,3.947368421052631,,False,BQSkit
ham_graph_complete_bipart_complbipart_n_10_a_5_b_5,ham_graph_complete_bipart_complbipart_n_10_a_5_b_5_1e-08_ScanPartitioner3_LEAP,10,4.1807801723480225,150,150,118,118,425,1025,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,11.18421052631579,24.55263157894737,3.947368421052631,4.315789473684211,,False,BQSkit
ham_graph_complete_bipart_complbipart_n_10_a_5_b_5,ham_graph_complete_bipart_complbipart_n_10_a_5_b_5_OptimizationLevel3,10,0.020986318588256003,150,150,118,118,425,428,"cx, h, rx, rz","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
ham_OH_JW10,ham_OH_JW10_1e-08_ScanPartitioner3_QSearch,10,57.64028549194336,2362,2060,2322,2016,3965,13087,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.291125541125541,16.54004329004329,2.556277056277056,2.708874458874458,,False,BQSkit
ham_OH_JW10,ham_OH_JW10_1e-08_ScanPartitioner3_LEAP,10,47.074562311172485,2362,2062,2322,2017,3965,12813,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.291125541125541,17.541125541125542,2.556277056277056,2.909090909090909,,False,BQSkit
ham_OH_JW10,ham_OH_JW10_OptimizationLevel3,10,0.46541380882263106,2362,1459,2322,1419,3965,3143,"cx, rx, h, rz","cx, rz, sx, x",,,,,,,,,,,3.0,False,Qiskit
ham_all_vib_bh_enc_stdbinary_dvalues_d_level_4,ham_all_vib_bh_enc_stdbinary_dvalues_d_level_4_1e-08_ScanPartitioner3_QSearch,2,2.972151279449463,10,3,10,3,31,61,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,31.0,17.0,10.0,3.0,,False,BQSkit
