,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,qiskit_bv_all_ones_10,qiskit_bv_all_ones_10_1e-08_ScanPartitioner3_QSearch,10,3.127155065536499,9,9,9,9,38,67,"HGate, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.8,11.8,1.8,1.8,,False,BQSkit
1,qiskit_bv_all_ones_10,qiskit_bv_all_ones_10_1e-08_ScanPartitioner3_LEAP,10,2.460952043533325,9,9,9,9,38,67,"HGate, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.8,11.8,1.8,1.8,,False,BQSkit
2,qiskit_bv_all_ones_10,qiskit_bv_all_ones_10_OptimizationLevel3,10,0.031492710113525,9,9,9,9,38,67,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
3,qiskit_bv_all_ones_49,qiskit_bv_all_ones_49_1e-08_ScanPartitioner3_QSearch,49,4.422898292541504,48,48,48,48,194,340,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.083333333333333,13.208333333333334,2.0,2.041666666666666,,False,BQSkit
4,qiskit_bv_all_ones_49,qiskit_bv_all_ones_49_1e-08_ScanPartitioner3_LEAP,49,4.653932571411133,48,48,48,48,194,340,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.083333333333333,13.208333333333334,2.0,2.041666666666666,,False,BQSkit
5,qiskit_bv_all_ones_49,qiskit_bv_all_ones_49_OptimizationLevel3,49,0.17190861701965302,48,48,48,48,194,301,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
6,qiskit_bv_all_ones_6,qiskit_bv_all_ones_6_1e-08_ScanPartitioner3_QSearch,6,2.616511821746826,5,5,5,5,22,39,"HGate, measurement, measurement, measurement, measurement, XGate, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.666666666666667,11.0,1.666666666666666,1.666666666666666,,False,BQSkit
7,qiskit_bv_all_ones_6,qiskit_bv_all_ones_6_1e-08_ScanPartitioner3_LEAP,6,2.47798228263855,5,5,5,5,22,39,"HGate, measurement, measurement, measurement, measurement, XGate, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.666666666666667,11.0,1.666666666666666,1.666666666666666,,False,BQSkit
8,qiskit_bv_all_ones_6,qiskit_bv_all_ones_6_OptimizationLevel3,6,0.01867127418518,5,5,5,5,22,43,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
9,qiskit_bv_all_ones_20,qiskit_bv_all_ones_20_1e-08_ScanPartitioner3_QSearch,20,3.231333255767822,19,19,19,19,78,137,"HGate, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9,12.4,1.9,1.9,,False,BQSkit
10,qiskit_bv_all_ones_20,qiskit_bv_all_ones_20_1e-08_ScanPartitioner3_LEAP,20,2.855225563049316,19,19,19,19,78,137,"HGate, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9,12.9,1.9,2.0,,False,BQSkit
11,qiskit_bv_all_ones_20,qiskit_bv_all_ones_20_OptimizationLevel3,20,0.078831434249877,19,19,19,19,78,127,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
12,qiskit_bv_all_ones_11,qiskit_bv_all_ones_11_1e-08_ScanPartitioner3_QSearch,11,3.037641048431396,10,10,10,10,42,74,"HGate, XGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.4,13.0,2.0,2.0,,False,BQSkit
13,qiskit_bv_all_ones_11,qiskit_bv_all_ones_11_1e-08_ScanPartitioner3_LEAP,11,2.415205717086792,10,10,10,10,42,74,"HGate, XGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.4,13.0,2.0,2.0,,False,BQSkit
14,qiskit_bv_all_ones_11,qiskit_bv_all_ones_11_OptimizationLevel3,11,0.036427021026611,10,10,10,10,42,73,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
15,qiskit_bv_all_ones_32,qiskit_bv_all_ones_32_1e-08_ScanPartitioner3_QSearch,32,9.579179763793945,31,31,31,31,126,221,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9375,12.625,1.9375,1.9375,,False,BQSkit
16,qiskit_bv_all_ones_32,qiskit_bv_all_ones_32_1e-08_ScanPartitioner3_LEAP,32,-3.217219591140747,31,31,31,31,126,221,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9375,13.25,1.9375,2.0625,,False,BQSkit
17,qiskit_bv_all_ones_32,qiskit_bv_all_ones_32_OptimizationLevel3,32,0.12856602668762201,31,31,31,31,126,199,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
18,qiskit_bv_all_ones_15,qiskit_bv_all_ones_15_1e-08_ScanPartitioner3_QSearch,15,2.50986099243164,14,14,14,14,58,102,"HGate, XGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.2857142857142865,13.0,2.0,2.0,,False,BQSkit
19,qiskit_bv_all_ones_15,qiskit_bv_all_ones_15_1e-08_ScanPartitioner3_LEAP,15,3.058297395706176,14,14,14,14,58,102,"HGate, XGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.2857142857142865,13.0,2.0,2.0,,False,BQSkit
20,qiskit_bv_all_ones_15,qiskit_bv_all_ones_15_OptimizationLevel3,15,0.053360939025878004,14,14,14,14,58,97,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
21,qiskit_bv_all_ones_5,qiskit_bv_all_ones_5_1e-08_ScanPartitioner3_QSearch,5,2.628806114196777,4,4,4,4,18,32,"HGate, measurement, measurement, measurement, XGate, measurement, CNOTGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.0,13.0,2.0,2.0,,False,BQSkit
22,qiskit_bv_all_ones_5,qiskit_bv_all_ones_5_1e-08_ScanPartitioner3_LEAP,5,3.089886426925659,4,4,4,4,18,32,"HGate, measurement, measurement, measurement, XGate, measurement, CNOTGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.0,13.0,2.0,2.0,,False,BQSkit
23,qiskit_bv_all_ones_5,qiskit_bv_all_ones_5_OptimizationLevel3,5,0.015167474746704001,4,4,4,4,18,37,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
24,qiskit_bv_all_ones_14,qiskit_bv_all_ones_14_1e-08_ScanPartitioner3_QSearch,14,2.478421926498413,13,13,13,13,54,95,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.857142857142857,12.142857142857142,1.8571428571428572,1.8571428571428572,,False,BQSkit
