,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,qiskit_clifford_6_13699,qiskit_clifford_6_13699_1e-08_ScanPartitioner3_QSearch,6,6.46907377243042,146,216,98,151,360,947,"CZGate, XGate, CYGate, ZGate, HGate, CNOTGate, SdgGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.625,19.3125,2.28125,3.28125,,False,BQSkit
1,qiskit_clifford_6_13699,qiskit_clifford_6_13699_1e-08_ScanPartitioner3_LEAP,6,4.814946889877319,146,215,98,150,360,992,"CZGate, XGate, CYGate, ZGate, HGate, CNOTGate, SdgGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.625,21.109375,2.28125,3.640625,,False,BQSkit
2,qiskit_clifford_6_13699,qiskit_clifford_6_13699_OptimizationLevel3,6,0.14901614189147902,146,89,98,62,360,346,"cx, swap, sdg, x, h, y, s, z, cz, cy","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
3,qiskit_clifford_12_27808,qiskit_clifford_12_27808_1e-08_ScanPartitioner3_QSearch,12,13.22181510925293,546,846,210,343,1440,3553,"CZGate, XGate, CYGate, HGate, ZGate, CNOTGate, SdgGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.581395348837209,19.391472868217054,2.116279069767442,3.2945736434108532,,False,BQSkit
4,qiskit_clifford_12_27808,qiskit_clifford_12_27808_1e-08_ScanPartitioner3_LEAP,12,15.050209760665894,546,852,210,346,1440,3454,"CZGate, XGate, CYGate, HGate, ZGate, CNOTGate, SdgGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.581395348837209,20.9031007751938,2.116279069767442,3.596899224806201,,False,BQSkit
5,qiskit_clifford_12_27808,qiskit_clifford_12_27808_OptimizationLevel3,12,0.36653423309326105,546,370,210,154,1440,1300,"swap, z, y, x, s, h, cy, sdg, cx, cz","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
6,qiskit_clifford_5_61729,qiskit_clifford_5_61729_1e-08_ScanPartitioner3_QSearch,5,4.828929901123047,94,124,75,99,250,724,"SGate, XGate, CYGate, SdgGate, CNOTGate, ZGate, HGate, YGate, CZGate, SwapGate","CNOTGate, XGate, RZGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.756756756756757,18.216216216216218,2.54054054054054,3.054054054054054,,False,BQSkit
7,qiskit_clifford_5_61729,qiskit_clifford_5_61729_1e-08_ScanPartitioner3_LEAP,5,4.45806360244751,94,128,75,103,250,697,"SGate, XGate, CYGate, SdgGate, CNOTGate, ZGate, HGate, YGate, CZGate, SwapGate","CNOTGate, XGate, RZGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.756756756756757,19.7027027027027,2.54054054054054,3.351351351351351,,False,BQSkit
8,qiskit_clifford_5_61729,qiskit_clifford_5_61729_OptimizationLevel3,5,0.058723926544189,94,56,75,40,250,230,"sdg, z, y, swap, cx, s, cy, x, h, cz","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
9,qiskit_clifford_9_84210,qiskit_clifford_9_84210_1e-08_ScanPartitioner3_QSearch,9,9.90936803817749,329,466,168,254,810,2213,"SGate, XGate, CYGate, SdgGate, CNOTGate, HGate, ZGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.472972972972973,18.77027027027027,2.222972972972973,3.168918918918919,,False,BQSkit
10,qiskit_clifford_9_84210,qiskit_clifford_9_84210_1e-08_ScanPartitioner3_LEAP,9,8.962937593460083,329,466,168,255,810,2213,"SGate, XGate, CYGate, SdgGate, CNOTGate, HGate, ZGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.472972972972973,20.18918918918919,2.222972972972973,3.452702702702702,,False,BQSkit
11,qiskit_clifford_9_84210,qiskit_clifford_9_84210_OptimizationLevel3,9,0.19101595878601002,329,220,168,110,810,813,"z, cx, x, swap, sdg, cz, y, h, cy, s","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
12,qiskit_clifford_16_84830,qiskit_clifford_16_84830_1e-08_ScanPartitioner3_QSearch,16,27.842968702316284,1016,1471,320,537,2560,6520,"CZGate, XGate, CYGate, ZGate, HGate, SdgGate, CNOTGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.245901639344262,18.334016393442624,2.081967213114754,3.079918032786885,,False,BQSkit
13,qiskit_clifford_16_84830,qiskit_clifford_16_84830_1e-08_ScanPartitioner3_LEAP,16,27.216755151748657,1016,1473,320,538,2560,6450,"CZGate, XGate, CYGate, ZGate, HGate, SdgGate, CNOTGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.245901639344262,19.584016393442624,2.081967213114754,3.329918032786885,,False,BQSkit
14,qiskit_clifford_16_84830,qiskit_clifford_16_84830_OptimizationLevel3,16,0.566133022308349,1016,726,320,227,2560,2614,"cz, x, y, sdg, h, swap, s, z, cy, cx","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
15,qiskit_clifford_7_84926,qiskit_clifford_7_84926_1e-08_ScanPartitioner3_QSearch,7,7.760503768920898,197,255,119,160,490,1517,"CZGate, XGate, CYGate, HGate, CNOTGate, ZGate, SdgGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.833333333333333,17.702380952380953,2.345238095238095,2.964285714285714,,False,BQSkit
16,qiskit_clifford_7_84926,qiskit_clifford_7_84926_1e-08_ScanPartitioner3_LEAP,7,5.6602559089660645,197,255,119,162,490,1580,"CZGate, XGate, CYGate, HGate, CNOTGate, ZGate, SdgGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.833333333333333,19.011904761904763,2.345238095238095,3.226190476190476,,False,BQSkit
17,qiskit_clifford_7_84926,qiskit_clifford_7_84926_OptimizationLevel3,7,0.08859372138977001,197,131,119,79,490,500,"cy, h, z, s, swap, x, y, cx, cz, sdg","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
18,qiskit_clifford_13_33032,qiskit_clifford_13_33032_1e-08_ScanPartitioner3_QSearch,13,17.639432430267334,675,1008,247,423,1690,4120,"CZGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.264797507788162,19.202492211838006,2.102803738317757,3.25233644859813,,False,BQSkit
19,qiskit_clifford_13_33032,qiskit_clifford_13_33032_1e-08_ScanPartitioner3_LEAP,13,17.8416907787323,675,1008,247,423,1690,4103,"CZGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.264797507788162,20.401869158878505,2.102803738317757,3.49221183800623,,False,BQSkit
20,qiskit_clifford_13_33032,qiskit_clifford_13_33032_OptimizationLevel3,13,0.29949450492858803,675,487,247,179,1690,1749,"h, x, cy, swap, y, cx, cz, sdg, s, z","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
21,qiskit_clifford_16_20017,qiskit_clifford_16_20017_1e-08_ScanPartitioner3_QSearch,16,27.119872331619263,1030,1505,351,542,2560,6364,"CZGate, XGate, CYGate, ZGate, CNOTGate, SdgGate, HGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.182186234817814,18.62753036437247,2.08502024291498,3.133603238866397,,False,BQSkit
22,qiskit_clifford_16_20017,qiskit_clifford_16_20017_1e-08_ScanPartitioner3_LEAP,16,25.215663194656372,1030,1508,351,542,2560,6363,"CZGate, XGate, CYGate, ZGate, CNOTGate, SdgGate, HGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.182186234817814,19.963562753036438,2.08502024291498,3.40080971659919,,False,BQSkit
23,qiskit_clifford_16_20017,qiskit_clifford_16_20017_OptimizationLevel3,16,0.073410749435424,1030,739,351,255,2560,2564,"cy, sdg, swap, h, cz, x, z, s, y, cx","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
24,qiskit_clifford_12_22418,qiskit_clifford_12_22418_1e-08_ScanPartitioner3_QSearch,12,14.58493423461914,580,831,218,353,1440,3868,"SGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.393258426966292,18.45692883895131,2.172284644194756,3.104868913857677,,False,BQSkit
25,qiskit_clifford_12_22418,qiskit_clifford_12_22418_1e-08_ScanPartitioner3_LEAP,12,13.100468158721924,580,831,218,351,1440,3861,"SGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.393258426966292,19.46816479400749,2.172284644194756,3.307116104868913,,False,BQSkit
26,qiskit_clifford_12_22418,qiskit_clifford_12_22418_OptimizationLevel3,12,0.305631875991821,580,414,218,159,1440,1561,"x, cz, cy, y, cx, s, z, h, swap, sdg","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
27,qiskit_clifford_20_70435,qiskit_clifford_20_70435_1e-08_ScanPartitioner3_QSearch,20,46.32324838638306,1636,2445,456,730,4000,9955,"CZGate, XGate, CYGate, ZGate, HGate, CNOTGate, SdgGate, YGate, SGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.044136191677175,18.780580075662044,2.063051702395964,3.167717528373266,,False,BQSkit
28,qiskit_clifford_20_70435,qiskit_clifford_20_70435_1e-08_ScanPartitioner3_LEAP,20,40.842610120773315,1636,2445,456,731,4000,9995,"CZGate, XGate, CYGate, ZGate, HGate, CNOTGate, SdgGate, YGate, SGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.044136191677175,19.915510718789406,2.063051702395964,3.394703656998738,,False,BQSkit
29,qiskit_clifford_20_70435,qiskit_clifford_20_70435_OptimizationLevel3,20,0.8462274074554441,1636,1185,456,329,4000,4094,"y, swap, cz, x, cx, h, cy, sdg, s, z","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
