,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,bqskit_clifford_optimized_18_26853,bqskit_clifford_optimized_18_26853_1e-08_ScanPartitioner3_QSearch,18,5.79281210899353,168,161,115,109,353,973,"HGate, ZGate, CNOTGate, XGate, YGate, SGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.191176470588235,16.11764705882353,2.470588235294117,2.63235294117647,,False,BQSkit
1,bqskit_clifford_optimized_18_26853,bqskit_clifford_optimized_18_26853_1e-08_ScanPartitioner3_LEAP,18,5.6295835971832275,168,161,115,108,353,971,"HGate, ZGate, CNOTGate, XGate, YGate, SGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.191176470588235,15.970588235294118,2.470588235294117,2.602941176470588,,False,BQSkit
2,bqskit_clifford_optimized_18_26853,bqskit_clifford_optimized_18_26853_OptimizationLevel3,18,0.092337846755981,168,153,115,101,353,523,"cx, h, s, z, y, x, swap","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
3,bqskit_clifford_optimized_7_96375,bqskit_clifford_optimized_7_96375_1e-08_ScanPartitioner3_QSearch,7,3.413878917694092,24,28,20,24,58,153,"HGate, CNOTGate, XGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.8,16.0,2.4,2.6,,False,BQSkit
4,bqskit_clifford_optimized_7_96375,bqskit_clifford_optimized_7_96375_1e-08_ScanPartitioner3_LEAP,7,3.460838556289673,24,29,20,25,58,116,"HGate, CNOTGate, XGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.8,17.0,2.4,2.8,,False,BQSkit
5,bqskit_clifford_optimized_7_96375,bqskit_clifford_optimized_7_96375_OptimizationLevel3,7,0.026737928390502003,24,19,20,16,58,75,"cx, h, s, swap, x, y","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
6,bqskit_clifford_optimized_11_66005,bqskit_clifford_optimized_11_66005_1e-08_ScanPartitioner3_QSearch,11,4.367734670639038,65,60,48,43,157,405,"HGate, ZGate, CNOTGate, XGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.814814814814815,15.407407407407407,2.407407407407407,2.518518518518518,,False,BQSkit
7,bqskit_clifford_optimized_11_66005,bqskit_clifford_optimized_11_66005_1e-08_ScanPartitioner3_LEAP,11,4.172419548034668,65,60,48,42,157,440,"HGate, ZGate, CNOTGate, XGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.814814814814815,15.962962962962964,2.407407407407407,2.629629629629629,,False,BQSkit
8,bqskit_clifford_optimized_11_66005,bqskit_clifford_optimized_11_66005_OptimizationLevel3,11,0.042532682418823006,65,59,48,42,157,228,"cx, h, s, x, y, z, swap","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
9,bqskit_clifford_optimized_10_31311,bqskit_clifford_optimized_10_31311_1e-08_ScanPartitioner3_QSearch,10,4.158668518066406,55,55,42,41,130,380,"HGate, ZGate, CNOTGate, XGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.5,17.75,2.75,2.95,,False,BQSkit
