,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
0,qiskit_dtc_8_4.0639_40639,qiskit_dtc_8_4.0639_40639_1e-08_ScanPartitioner3_QSearch,8,3.849589586257934,7,14,2,4,23,69,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.75,20.5,1.75,3.5,,False,BQSkit
1,qiskit_dtc_8_4.0639_40639,qiskit_dtc_8_4.0639_40639_1e-08_ScanPartitioner3_LEAP,8,3.671434164047241,7,14,2,4,23,69,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.75,24.25,1.75,4.25,,False,BQSkit
2,qiskit_dtc_8_4.0639_40639,qiskit_dtc_8_4.0639_40639_OptimizationLevel3,8,0.020408391952514003,7,14,2,4,23,68,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
3,qiskit_dtc_5_3.451_34510,qiskit_dtc_5_3.451_34510_1e-08_ScanPartitioner3_QSearch,5,3.918490409851074,4,8,2,4,14,42,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.0,23.0,2.0,4.0,,False,BQSkit
4,qiskit_dtc_5_3.451_34510,qiskit_dtc_5_3.451_34510_1e-08_ScanPartitioner3_LEAP,5,4.4793643951416025,4,8,2,4,14,42,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.0,23.0,2.0,4.0,,False,BQSkit
5,qiskit_dtc_5_3.451_34510,qiskit_dtc_5_3.451_34510_OptimizationLevel3,5,0.011359214782714,4,8,2,4,14,41,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
6,qiskit_dtc_8_3.2022_32022,qiskit_dtc_8_3.2022_32022_1e-08_ScanPartitioner3_QSearch,8,3.950257778167724,7,14,2,4,23,69,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.75,20.5,1.75,3.5,,False,BQSkit
7,qiskit_dtc_8_3.2022_32022,qiskit_dtc_8_3.2022_32022_1e-08_ScanPartitioner3_LEAP,8,3.476626396179199,7,14,2,4,23,69,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.75,20.5,1.75,3.5,,False,BQSkit
8,qiskit_dtc_8_3.2022_32022,qiskit_dtc_8_3.2022_32022_OptimizationLevel3,8,0.016389608383178,7,14,2,4,23,68,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
9,qiskit_dtc_13_5.383_53830,qiskit_dtc_13_5.383_53830_1e-08_ScanPartitioner3_QSearch,13,3.437213659286499,12,24,2,4,38,114,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.333333333333333,23.0,2.0,4.0,,False,BQSkit
10,qiskit_dtc_13_5.383_53830,qiskit_dtc_13_5.383_53830_1e-08_ScanPartitioner3_LEAP,13,3.773603916168213,12,24,2,4,38,114,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.333333333333333,23.833333333333332,2.0,4.166666666666667,,False,BQSkit
11,qiskit_dtc_13_5.383_53830,qiskit_dtc_13_5.383_53830_OptimizationLevel3,13,0.019567012786865002,12,24,2,4,38,113,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
12,qiskit_dtc_20_2.1985_21985,qiskit_dtc_20_2.1985_21985_1e-08_ScanPartitioner3_QSearch,20,4.374133110046387,19,38,2,4,59,177,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9,22.0,1.9,3.8,,False,BQSkit
13,qiskit_dtc_20_2.1985_21985,qiskit_dtc_20_2.1985_21985_1e-08_ScanPartitioner3_LEAP,20,3.47714900970459,19,38,2,4,59,177,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9,23.5,1.9,4.1,,False,BQSkit
14,qiskit_dtc_20_2.1985_21985,qiskit_dtc_20_2.1985_21985_OptimizationLevel3,20,0.026403665542602,19,38,2,4,59,176,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
